"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Planoles","Unk",8233,"J0007","1925_J0007","2010_00001_J0007",2010-06-16,"2010",0,42.32149764,2.071394802,1149.63,42.32149764,2.071394801,1149.63,423483.1309,4685890.244,-250.7285431,-130.8459083,6.8,9.6,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",8234,"J0009","1926_J0009","2010_00002_J0009",2010-06-16,"2010",0,42.3214948,2.071398147,1151.22,42.3214948,2.071398146,1151.22,423483.4031,4685889.926,-250.4563512,-131.1639268,6.7,9.1,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",8228,"J0013","1927_J0013","2010_00003_J0013",2010-06-16,"2010",0,42.32150598,2.071370284,1151.88,42.32150598,2.071370283,1151.88,423481.1207,4685891.193,-252.7387267,-129.8973719,7,9.7,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",9521,"J0014","1928_J0014","2010_00004_J0014",2010-09-07,"2010",0,42.32164633,2.070636693,1154.21,42.32164633,2.070636692,1154.21,423420.8427,4685907.436,-313.0167584,-113.6536653,1.1,1.5,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",8229,"J0017","1929_J0017","2010_00005_J0017",2010-06-16,"2010",0,42.32150838,2.071370705,1151.2,42.32150838,2.071370704,1151.2,423481.1583,4685891.459,-252.7011266,-129.6311518,7,9.7,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6017,"J0021","1930_J0021","2010_00006_J0021",2010-06-02,"2010",0,42.32334102,2.077001362,1138.98,42.32334102,2.077001361,1138.98,423947.3343,4686089.9,213.4748938,68.81019153,1.2,2,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",5999,"J0022","1931_J0022","2010_00007_J0022",2010-06-02,"2010",0,42.32335184,2.076993266,1143.73,42.32335184,2.076993265,1143.73,423946.6803,4686091.109,212.8208366,70.01928709,1.1,1.7,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6018,"J0022","1932_J0022","2010_00008_J0022",2010-06-02,"2010",0,42.3233232,2.076990247,1147.83,42.3233232,2.076990246,1147.83,423946.397,4686087.931,212.5375766,66.8415669,1,1.4,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6011,"J0024","1933_J0024","2010_00009_J0024",2010-06-02,"2010",0,42.32334595,2.077011364,1137.45,42.32334595,2.077011363,1137.45,423948.1644,4686090.439,214.3049832,69.34921674,1.2,2,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",5991,"J0026","1934_J0026","2010_00010_J0026",2010-06-02,"2010",0,42.32327065,2.076782274,1139.45,42.32327065,2.076782273,1139.45,423929.1971,4686082.283,195.3376967,61.19306754,0.8,1,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",5995,"J0028","1935_J0028","2010_00011_J0028",2010-06-02,"2010",0,42.32329129,2.076802623,1138.64,42.32329129,2.076802622,1138.64,423930.8987,4686084.557,197.0392824,63.46666854,0.7,0.9,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",5976,"J0028","1936_J0028","2010_00012_J0028",2010-06-02,"2010",0,42.32323331,2.07669678,1149.32,42.32323332,2.076696779,1149.32,423922.1076,4686078.213,188.2481607,57.12351346,0.9,1.5,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6020,"J0029","1937_J0029","2010_00013_J0029",2010-06-02,"2010",0,42.32334097,2.076996854,1139.45,42.32334097,2.076996853,1139.45,423946.9628,4686089.899,213.1033892,68.80922425,1.2,1.9,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6743,"J0029","1938_J0029","2010_00014_J0029",2010-06-14,"2010",0,42.32318445,2.076679989,1139.07,42.32318,2.076686122,1138.57,423920.6652,4686072.803,186.8057341,51.71261684,0.9,1,1,"","Alive",NA,"flower",4,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,0,NA,NA,NA
"Planoles","Unk",5998,"J0031","1939_J0031","2010_00015_J0031",2010-06-02,"2010",0,42.32334145,2.076998864,1140.04,42.32334146,2.076998863,1140.04,423947.129,4686089.951,213.2695898,68.86094725,0.8,1,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6000,"J0034","1940_J0034","2010_00016_J0034",2010-06-02,"2010",0,42.32335283,2.076997264,1142.22,42.32335283,2.076997263,1142.22,423947.0109,4686091.216,213.1514588,70.12586179,1.2,1.9,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6012,"J0035","1941_J0035","2010_00017_J0035",2010-06-02,"2010",0,42.32334579,2.077011237,1137.34,42.32334579,2.077011236,1137.34,423948.1538,4686090.421,214.2943187,69.33089819,1.2,2,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6013,"J0036","1942_J0036","2010_00018_J0036",2010-06-02,"2010",0,42.32334558,2.077010146,1137.41,42.32334558,2.077010145,1137.41,423948.0636,4686090.399,214.2041707,69.30866671,1.2,2,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6014,"J0039","1943_J0039","2010_00019_J0039",2010-06-02,"2010",0,42.32334493,2.077009027,1137.55,42.32334493,2.077009026,1137.55,423947.9706,4686090.328,214.1111916,69.23815938,1.2,2,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6001,"J0042","1944_J0042","2010_00020_J0042",2010-06-02,"2010",0,42.32335211,2.076995905,1142.02,42.32335211,2.076995904,1142.02,423946.8981,4686091.137,213.0386114,70.04701917,1.1,1.8,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NoGPS","Unk",6370,"J0043","1945_J0043","2010_00021_J0043",2010-06-04,"2010",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6009,"J0044","1946_J0044","2010_00022_J0044",2010-06-02,"2010",0,42.32334008,2.076995831,1140.43,42.32334008,2.07699583,1140.43,423946.8775,4686089.801,213.0180204,68.71098303,0.8,0.9,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6376,"J0045","1947_J0045","2010_00023_J0045",2010-06-04,"2010",0,42.32347142,2.077508512,1131.46,42.32347142,2.077508511,1131.46,423989.2795,4686103.926,255.4200438,82.83606404,7.9,10.9,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6369,"J0047","1948_J0047","2010_00024_J0047",2010-06-04,"2010",0,42.32342755,2.077237208,1137.54,42.32342755,2.077237207,1137.54,423966.8718,4686099.298,233.0123485,78.20795842,3.1,1.3,1,"","Alive",NA,"flower",2,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,NA,0,NA,NA,NA
"Planoles","Unk",6002,"J0048","1949_J0048","2010_00025_J0048",2010-06-02,"2010",0,42.3233497,2.076991816,1143.41,42.3233497,2.076991815,1143.41,423946.5582,4686090.873,212.6987806,69.78285398,1.1,1.8,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",7438,"J0048","1950_J0048","2010_00026_J0048",2010-06-23,"2010",0,42.32369892,2.079840053,1136.36,42.32369892,2.079840052,1136.36,424181.6667,4686127.107,447.8072646,106.0172197,1.7,1.2,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",7484,"J0048","1951_J0048","2010_00027_J0048",2010-06-23,"2010",0,42.32318729,2.082644146,1135.53,42.3231873,2.082644145,1135.53,424412.1047,4686067.803,678.2452594,46.71310941,0.8,1.4,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",6003,"J0049","1952_J0049","2010_00028_J0049",2010-06-02,"2010",0,42.3233487,2.076988995,1144.51,42.3233487,2.076988994,1144.51,423946.3246,4686090.764,212.4651276,69.67400587,1.1,1.8,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
