"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Planoles","0",0,"T4554","25887_T4554","2015_00066_T4554",2015-07-02,"2015",1,42.31253742,2.148329364,1038.031,0,0,0,429812.611797696,4684829.01900758,0,0,0,0,1,"","Alive","no",0,1,2,4,"Just opened",62,12,0,0,0,0,0,0,0,"0",1.2,1.8,"NE"
"Planoles","0",0,"T4560","25888_T4560","2015_00067_T4560",2015-07-02,"2015",1,42.31253882,2.148327466,1037.737,0,0,0,429812.45693533,4684829.17602341,0,0,0,0,1,"","Alive","no",0,2,4,1,"Just opened",33,10,0,0,1,0,0,0,0,"0",1.8,1.7,"NE"
"Planoles","0",0,"T4560","25889_T4560","2015_00068_T4560",2015-07-02,"2015",1,42.31253882,2.148327466,1037.737,0,0,0,429812.45693533,4684829.17602341,0,0,0,0,1,"","Alive","no",0,2,4,1,"Just opened",33,10,0,0,1,0,0,0,0,"0",1.8,1.7,"NE"
"Planoles","0",0,"T4567","25890_T4567","2015_00069_T4567",2015-07-02,"2015",1,42.31255156,2.148282433,1038.449,0,0,0,429808.759832547,4684830.62776336,0,0,0,0,1,"","Alive","yes",0,4,6,0,"< 2 weeks",66,27,0,0,5,0,0,0,0,"0",0.6,1.8,"North"
"Planoles","0",0,"T4567","25891_T4567","2015_00070_T4567",2015-07-02,"2015",1,42.31255156,2.148282433,1038.449,0,0,0,429808.759832547,4684830.62776336,0,0,0,0,1,"","Alive","yes",0,4,6,0,"< 2 weeks",66,27,0,0,5,0,0,0,0,"0",0.6,1.8,"North"
"Planoles","0",0,"T4549","25892_T4549","2015_00071_T4549",2015-07-02,"2015",1,42.31255202,2.148288529,1037.987,0,0,0,429809.262727156,4684830.67381229,0,0,0,0,1,"","Alive","no",0,2,3,4,"Just opened",48,9,0,0,0,0,0,0,0,"0",2,3.6,"North"
"Planoles","0",0,"T4549","25893_T4549","2015_00072_T4549",2015-07-02,"2015",1,42.31255202,2.148288529,1037.987,0,0,0,429809.262727156,4684830.67381229,0,0,0,0,1,"","Alive","no",0,2,3,4,"Just opened",48,9,0,0,0,0,0,0,0,"0",2,3.6,"North"
"Planoles","0",0,"T4566","25894_T4566","2015_00073_T4566",2015-07-02,"2015",1,42.31256083,2.148290987,1037.536,0,0,0,429809.475085494,4684831.65001309,0,0,0,0,1,"","Alive","yes",0,3,3,2,"< 2 weeks",62,22,0,0,0,0,0,0,0,"0",0.5,1.8,"North"
"Planoles","0",0,"T4566","25895_T4566","2015_00074_T4566",2015-07-02,"2015",1,42.31256083,2.148290987,1037.536,0,0,0,429809.475085494,4684831.65001309,0,0,0,0,1,"","Alive","yes",0,3,3,2,"< 2 weeks",62,22,0,0,0,0,0,0,0,"0",0.5,1.8,"North"
"Planoles","CLINE GAPS",0,"T0214","25896_T0214","2015_00075_T0214",2015-06-08,"2015",1,42.31260131,2.184428934,1037.224,0,0,0,432787.716317386,4684806.97262156,0,0,0,0,1,"","Alive","no",0,1,1,1,"< 1 week",0,24,0,0,0,0,0,0,0,"0",5,0,"SW"
"Planoles","0",0,"T4558","25897_T4558","2015_00076_T4558",2015-07-02,"2015",1,42.31260196,2.148189902,1037.494,0,0,0,429801.19018045,4684836.30030197,0,0,0,0,1,"","Alive","yes",0,2,3,12,"> 2 weeks ago",100,22,0,0,0,0,0,0,0,"0",0,3.5,"NE"
"Planoles","0",0,"T4558","25898_T4558","2015_00077_T4558",2015-07-02,"2015",1,42.31260196,2.148189902,1037.494,0,0,0,429801.19018045,4684836.30030197,0,0,0,0,1,"","Alive","yes",0,2,3,12,"> 2 weeks ago",100,22,0,0,0,0,0,0,0,"0",0,3.5,"NE"
