"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Planoles",0,0,"V4806","37189_V4806","2016_00001_V4806",2016-07-06,"2016",1,42.33254505,2.07280093,1423.073,0,0,0,423612.364413388,4687115.64753938,0,0,0,0,1,"","Alive","no",0,1,0,4,"< 1 week",65,16,0,0,0,0,0,0,0,"0",15,0,"North"
"Planoles",0,0,"V4808","37190_V4808","2016_00002_V4808",2016-07-06,"2016",1,42.33254395,2.072800821,1423.2,0,0,0,423612.354102113,4687115.52549689,0,0,0,0,1,"","Alive","no",0,1,0,3,"Just opened",38,20,0,0,0,0,0,0,0,"0",35,5,"North"
"Planoles",0,0,"V4803","37191_V4803","2016_00003_V4803",2016-07-06,"2016",1,42.3325475,2.072793835,1422.868,0,0,0,423611.782849325,4687115.92595002,0,0,0,0,1,"","Alive","no",0,1,1,1,"Just opened",28,8,0,0,0,0,0,0,0,"0",2,0,"North"
"Planoles",0,0,"V4811","37192_V4811","2016_00004_V4811",2016-07-06,"2016",1,42.33254786,2.072774121,1423.29,0,0,0,423610.159126483,4687115.98362509,0,0,0,0,1,"","Alive","yes",0,1,0,2,"< 2 weeks",42,17,0,0,0,0,0,0,0,"0",2,0,"NE"
"Planoles",0,0,"V4804","37193_V4804","2016_00005_V4804",2016-07-06,"2016",1,42.33255499,2.07276459,1423.414,0,0,0,423609.382533985,4687116.78387506,0,0,0,0,1,"","Alive","no",0,2,1,10,"< 2 weeks",74,21,0,0,0,0,0,0,0,"0",1,0,"North"
"Planoles",0,0,"V4809","37194_V4809","2016_00006_V4809",2016-07-06,"2016",1,42.33255953,2.072757784,1422.98,0,0,0,423608.827309083,4687117.29409313,0,0,0,0,1,"","Alive","yes",0,2,0,6,"> 2 weeks ago",71,16,0,0,0,0,0,0,0,"0",2,-1.5,"South"
"Planoles",0,0,"V4814","37195_V4814","2016_00007_V4814",2016-07-06,"2016",1,42.33257452,2.0727446,1422.776,0,0,0,423607.759273326,4687118.97037195,0,0,0,0,1,"","Alive","no",0,3,4,15,"< 2 weeks",53,19,0,0,0,0,0,0,0,"0",2,0.2,"NE"
"Planoles",0,0,"V4815","37196_V4815","2016_00008_V4815",2016-07-06,"2016",1,42.33257322,2.072746891,1423.683,0,0,0,423607.946446354,4687118.823967,0,0,0,0,1,"","Alive","no",0,1,0,4,"< 1 week",56,13,0,0,0,0,0,0,0,"0",2,0,"NE"
"Planoles",0,0,"V4807","37197_V4807","2016_00009_V4807",2016-07-06,"2016",1,42.33256708,2.072759342,1425.393,0,0,0,423608.964803773,4687118.13102115,0,0,0,0,1,"","Alive","yes",0,1,1,3,"Just opened",57,10,0,0,0,0,0,0,0,"0",1,0,"NE"
"Planoles",0,0,"V4819","37198_V4819","2016_00010_V4819",2016-07-06,"2016",1,42.33257667,2.072752813,1427.281,0,0,0,423608.438511654,4687119.20172584,0,0,0,0,1,"","Alive","yes",0,3,2,4,"> 2 weeks ago",61,17,0,0,0,0,0,0,0,"0",2,0,"NE"
