"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Cadi","Cadi",NA,"CADI280","17108_CADI280","2014_00001_CADI280",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,NA,"","","","","","","","","",NA,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29620,"CADI281","17109_CADI281","2014_00002_CADI281",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","3","","","","111",10,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29615,"CADI282","17110_CADI282","2014_00003_CADI282",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","1","1","","> 2 weeks ago","104",5,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",NA,"CADI283","17111_CADI283","2014_00004_CADI283",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,NA,"","","","","","","","","",NA,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29614,"CADI284","17112_CADI284","2014_00005_CADI284",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","1","","","> 2 weeks ago","64",7,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29623,"CADI285","17113_CADI285","2014_00006_CADI285",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","","4","","> 2 weeks ago","113",14,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29617,"CADI286","17114_CADI286","2014_00007_CADI286",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","4","","","> 2 weeks ago","84",16,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29630,"CADI287","17115_CADI287","2014_00008_CADI287",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","1","","1","< 1 week","52",8,"","","","","4","1",NA,"David",NA,NA,NA
"Cadi","Cadi",29625,"CADI288","17116_CADI288","2014_00009_CADI288",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","1","1","1","> 2 weeks ago","62",7,"","","","","4","1",NA,"David",NA,NA,NA
"Cadi","Cadi",29628,"CADI289","17117_CADI289","2014_00010_CADI289",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","","2","","> 2 weeks ago","46",10,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29616,"CADI290","17118_CADI290","2014_00011_CADI290",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","1","","3","< 2 weeks","82",7,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",NA,"CADI291","17119_CADI291","2014_00012_CADI291",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,NA,"","","","","","","","","",NA,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29627,"CADI292","17120_CADI292","2014_00013_CADI292",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","","3","","","92",14,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29621,"CADI293","17121_CADI293","2014_00014_CADI293",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","2","","1","< 2 weeks","98",10,"","","","","2.5","1",NA,"David",NA,NA,NA
"Cadi","Cadi",29618,"CADI294","17122_CADI294","2014_00015_CADI294",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","","no","flower","","2","","","78",10,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29619,"CADI295","17123_CADI295","2014_00016_CADI295",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","","3","","","131",12,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",NA,"CADI296","17124_CADI296","2014_00017_CADI296",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,NA,"","","","","","","","","",NA,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29622,"CADI296","17125_CADI296","2014_00018_CADI296",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","1","","1","< 1 week","39",5,"","","","","4","1",NA,"David",NA,NA,NA
"Cadi","Cadi",29626,"CADI297","17126_CADI297","2014_00019_CADI297",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","yes","flower","","3","","","124",17,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",NA,"CADI298","17127_CADI298","2014_00020_CADI298",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,NA,"","","","","","","","","",NA,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",29624,"CADI299","17128_CADI299","2014_00021_CADI299",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","1","","1","< 2 weeks","33",7,"","","","","2.5","1",NA,"David",NA,NA,NA
"Cadi","Cadi",29629,"CADI300","17129_CADI300","2014_00022_CADI300",2014-06-24,"2014",1,42.28335,1.851083333,1031,42.28335,1.851083333,1031,405272.129,4681876.071,-18465.56183,-4145.034259,NA,NA,0,"","Alive","no","flower","3","1","","> 2 weeks ago","48",9,"","","","","-9","-9",NA,"David",NA,NA,NA
"Cadi","Cadi",28528,"S2449","17130_S2449","2014_00023_S2449",2014-06-19,"2014",1,42.28335012,1.851109633,1008.49,42.28335812,1.851098571,1009.29,405274.2976,4681876.056,-18459.56183,-4145.034259,3.8,4.5,1,"","Alive","no","flower","","","","> 2 weeks ago","",NA,"","","","","1.5","0.5",NA,"0",NA,NA,NA
"Cadi","Cadi",28529,"S2616","17131_S2616","2014_00024_S2616",2014-06-19,"2014",1,42.28334879,1.851114755,1012.67,42.28336136,1.851097373,1014.27,405274.7179,4681875.902,-18459.14151,-4145.187525,0.7,1,1,"","Alive","no","flower","","","","> 2 weeks ago","",NA,"","","","","4","1",NA,"0",NA,NA,NA
"Cadi","Cadi",28530,"S2608","17132_S2608","2014_00025_S2608",2014-06-19,"2014",1,42.28308011,1.85119288,1004.64,42.28308012,1.851192879,1004.64,405280.7569,4681845.982,-18453.10254,-4175.107613,12.6,16.6,1,"","Alive","no","flower","","","","< 2 weeks","",NA,"","","","","1.5","2.5",NA,"0",NA,NA,NA
"Cadi","Cadi",28527,"S2445","17133_S2445","2014_00026_S2445",2014-06-19,"2014",1,42.28318204,1.851308138,1014.84,42.28323534,1.851234398,1018.84,405290.4127,4681857.171,-18443.44671,-4163.918535,1.6,1.6,1,"","Alive","no","flower","","","","< 1 week","",NA,"","","","","1.5","1",NA,"0",NA,NA,NA
"Cadi","Cadi",28531,"S2454","17134_S2454","2014_00027_S2454",2014-06-19,"2014",1,42.28499179,1.851784731,1025.46,42.28506286,1.851686409,1027.26,405332.4181,4682057.59,-18401.44134,-3963.499518,0.6,0.7,1,"","Alive","no","flower","","","","< 2 weeks","",NA,"","","","","0.5","1",NA,"0",NA,NA,NA
"Cadi","Cadi",28517,"S2605","17135_S2605","2014_00028_S2605",2014-06-19,"2014",1,42.27203514,1.853301281,1013.24,42.27203514,1.85330128,1013.24,405438.083,4680617.245,-18295.77642,-5403.845419,0.8,0.6,1,"","","no","flower","","","","> 2 weeks ago","",NA,"","","","","4","0.5",NA,"0",NA,NA,NA
"Cadi","Cadi",33410,"CADI261","17136_CADI261","2014_00029_CADI261",2014-08-24,"2014",1,42.27202235,1.85332661,1012.29,42.27202235,1.853326609,1012.29,405440.1527,4680615.796,-18293.70677,-5405.293474,0.5,0.5,1,"","","no","flower","","","","","",NA,"","","","","-9","-9",NA,"0",NA,NA,NA
"Cadi","Cadi",33409,"CADI246","17137_CADI246","2014_00030_CADI246",2014-08-24,"2014",1,42.27200034,1.853328074,1011.78,42.27200034,1.853328073,1011.78,405440.2405,4680613.351,-18293.61895,-5407.73923,0.4,0.5,1,"","","no","flower","","","","","",NA,"","","","","-9","-9",NA,"0",NA,NA,NA
"Cadi","Cadi",33408,"CADI257","17138_CADI257","2014_00031_CADI257",2014-08-24,"2014",1,42.27198347,1.853389244,1011.06,42.27198347,1.853389243,1011.06,405445.2597,4680611.41,-18288.59974,-5409.679883,0.5,0.5,1,"","","no","flower","","","","","",NA,"","","","","-9","-9",NA,"0",NA,NA,NA
"Cadi","Cadi",28511,"S2601","17139_S2601","2014_00032_S2601",2014-06-19,"2014",1,42.27196523,1.853407233,1009.25,42.27196523,1.853407232,1009.25,405446.7159,4680609.364,-18287.14354,-5411.72549,0.8,0.8,1,"","","no","flower","","","3","> 2 weeks ago","",NA,"","","","","4","1.5",NA,"0",NA,NA,NA
"Cadi","Cadi",28509,"S2620","17140_S2620","2014_00033_S2620",2014-06-19,"2014",1,42.27194588,1.853414645,1009.67,42.27194588,1.853414644,1009.67,405447.2982,4680607.208,-18286.56122,-5413.88216,0.6,0.6,1,"","Alive","no","flower","","","","> 2 weeks ago","",NA,"","","","","4","1",NA,"0",NA,NA,NA
"Cadi","Cadi",28516,"S2613","17141_S2613","2014_00034_S2613",2014-06-19,"2014",1,42.27199769,1.853437629,1010.83,42.27199769,1.853437628,1010.83,405449.2711,4680612.936,-18284.58838,-5408.154331,0.6,0.6,1,"","","no","flower","","","","> 2 weeks ago","",NA,"","","","","4","0.5",NA,"0",NA,NA,NA
"Cadi","Cadi",33407,"CADI247","17142_CADI247","2014_00035_CADI247",2014-08-24,"2014",1,42.27200588,1.853454847,1012.07,42.27200589,1.853454846,1012.07,405450.7032,4680613.826,-18283.15624,-5407.263948,0.4,0.5,1,"","","no","flower","","","","","",NA,"","","","","-9","-9",NA,"0",NA,NA,NA
"Cadi","Cadi",28515,"S2611","17143_S2611","2014_00036_S2611",2014-06-19,"2014",1,42.27192232,1.853513667,1009.08,42.27192232,1.853513666,1009.08,405455.4289,4680604.482,-18278.43053,-5416.608328,0.6,0.5,1,"","","no","flower","","","","> 2 weeks ago","",NA,"","","","","4","0.5",NA,"0",NA,NA,NA
"Cadi","Cadi",28514,"S2609","17144_S2609","2014_00037_S2609",2014-06-19,"2014",1,42.27205924,1.85354081,1017.41,42.27205924,1.853540809,1017.41,405457.8719,4680619.655,-18275.9875,-5401.434926,0.7,0.6,1,"","","no","flower","","","","> 2 weeks ago","",NA,"","","","","4","0.5",NA,"0",NA,NA,NA
"Cadi","Cadi",28513,"S2615","17145_S2615","2014_00038_S2615",2014-06-19,"2014",1,42.27203216,1.853555287,1014.89,42.27203216,1.853555286,1014.89,405459.0253,4680616.632,-18274.83413,-5404.458303,0.6,0.6,1,"","","no","flower","","","","> 2 weeks ago","",NA,"","","","","4","0.5",NA,"0",NA,NA,NA
"Cadi","Cadi",28512,"S2618","17146_S2618","2014_00039_S2618",2014-06-19,"2014",1,42.27202547,1.85360354,1014.46,42.27202547,1.853603539,1014.46,405462.9945,4680615.836,-18270.86491,-5405.254033,0.5,0.5,1,"","","no","flower","","","","","",NA,"","","","","4","0.5",NA,"0",NA,NA,NA
