"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Planoles","Unk",17893,"J0012","7611_J0012","2012_00001_J0012",2012-06-20,"2012",0,42.32582896,2.07624081,1310.08,42.32582896,2.076240809,1310.08,423887.6655,4686366.833,153.8061068,345.7428329,1.1,2,1,"","Alive",NA,"flower",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15564,"J0058","7612_J0058","2012_00002_J0058",2012-06-13,"2012",0,42.32346575,2.077626347,1138.37,42.32346575,2.077626346,1138.37,423998.982,4686103.192,265.1225784,82.10167232,1.1,1.4,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15789,"J0078","7613_J0078","2012_00003_J0078",2012-06-13,"2012",0,42.3217436,2.07171044,1150.21,42.3217436,2.071710439,1150.21,423509.4376,4685917.271,-224.4218753,-103.8187171,1,1.4,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NoGPS","Unk",16202,"J0078","7614_J0078","2012_00004_J0078",2012-06-14,"2012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"6 seed capsules","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15921,"J0082","7615_J0082","2012_00005_J0082",2012-06-13,"2012",0,42.32363342,2.080189703,1133.37,42.32363342,2.080189702,1133.37,424210.3984,4686119.523,476.5389563,98.43271333,0.8,1.7,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",16601,"J0090","7616_J0090","2012_00006_J0090",2012-06-15,"2012",0,42.32377086,2.081238665,1135.38,42.32377086,2.081238664,1135.38,424296.9952,4686133.85,563.1357603,112.7597568,0.9,1.3,1,"4 seed capsules from last year","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",16215,"J0134","7617_J0134","2012_00007_J0134",2012-06-14,"2012",0,42.32371112,2.079710004,1134.1,42.32371112,2.079710003,1134.1,424170.9656,4686128.578,437.106192,107.4876454,0.9,1.3,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",17822,"J0156","7618_J0156","2012_00008_J0156",2012-06-20,"2012",0,42.32649809,2.079265386,1307.21,42.32649809,2.079265385,1307.21,424137.6789,4686438.429,403.8194785,417.3394715,0.8,1.3,1,"","",NA,"flower",1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",16234,"J0156","7619_J0156","2012_00009_J0156",2012-06-14,"2012",0,42.32652093,2.07927249,1305.3,42.32653914,2.079296498,1309.3,424138.2917,4686440.959,404.4322492,419.8692123,0.7,0.9,1,"","Alive",NA,"bud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",16501,"J0165","7620_J0165","2012_00010_J0165",2012-06-15,"2012",0,42.32284599,2.086209314,1149.35,42.32284599,2.086209313,1149.35,424705.4613,4686026.745,971.6018351,5.654936482,6.2,9.3,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NoGPS","Unk",16502,"J0171","7621_J0171","2012_00011_J0171",2012-06-15,"2012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","Alive",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",19029,"J0223","7622_J0223","2012_00012_J0223",2012-07-23,"2012",0,42.32362525,2.079680444,1136.38,42.32362525,2.079680443,1136.38,424168.4268,4686119.069,434.5673849,97.9787298,0.9,1.1,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15721,"J0286","7623_J0286","2012_00013_J0286",2012-06-13,"2012",0,42.32285249,2.075160585,1141.72,42.32285249,2.075160584,1141.72,423795.0683,4686037.303,61.20885436,16.21282624,1.1,1.4,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15754,"J0296","7624_J0296","2012_00014_J0296",2012-06-13,"2012",0,42.32283371,2.074312194,1134.96,42.32283371,2.074312193,1134.96,423725.1393,4686035.978,-8.72014466,14.88773055,5,5.4,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NoGPS","Unk",15674,"J0314","7625_J0314","2012_00015_J0314",2012-06-13,"2012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15707,"J0351","7626_J0351","2012_00016_J0351",2012-06-13,"2012",0,42.32287472,2.075244202,1142.27,42.32287472,2.075244201,1142.27,423801.9851,4686039.696,68.12561247,18.60628347,2.5,1.6,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",16276,"J0421","7627_J0421","2012_00017_J0421",2012-06-14,"2012",0,42.32634364,2.081239835,1300.56,42.32634364,2.081239834,1300.56,424300.1763,4686419.521,566.3168962,398.4312707,0.9,1.2,1,"","Label only",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",17858,"J0422","7628_J0422","2012_00018_J0422",2012-06-20,"2012",0,42.32636481,2.08129903,1298.88,42.32636481,2.081299029,1298.88,424305.079,4686421.819,571.219598,400.7292489,0.9,1.2,1,"","",NA,"flower",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",17562,"J0422","7629_J0422","2012_00019_J0422",2012-06-19,"2012",0,42.32635542,2.081299657,1300.53,42.32635542,2.081299656,1300.53,424305.1194,4686420.776,571.2600011,399.6860579,0.7,1.1,1,"","Alive",NA,"flower",4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15699,"J0447","7630_J0447","2012_00020_J0447",2012-06-13,"2012",0,42.32281345,2.075315449,1142.81,42.32281345,2.075315448,1142.81,423807.7818,4686032.829,73.92233772,11.73927619,2.2,1.5,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",16222,"J0455","7631_J0455","2012_00021_J0455",2012-06-14,"2012",0,42.32367927,2.080421743,1135.49,42.32367927,2.080421742,1135.49,424229.573,4686124.407,495.7135317,103.3170771,0.8,1.3,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Planoles","Unk",15713,"J0468","7632_J0468","2012_00022_J0468",2012-06-13,"2012",0,42.32285121,2.075218954,1143.11,42.32285121,2.075218953,1143.11,423799.8763,4686037.108,66.01683917,16.01842573,2.8,1.7,1,"","Dead",NA,"flower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
